Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,
Tracxn,2013,Bangalore,Investment,Tracxn is the research partner for Venture Capitalist,"Abhishek Goyal, Neha Singh","Saif partners, Accel partners, Sequoia capital","$887,000",Series B,
Purple Style Labs,2015,Mumbai,Fashion,Shopping experience and foster the growth of Indian brands and designers.,Abhishek Agarwal,"Jitendra Gupta, Astarc Ventures.","$43,000",,
ProPhysio,2016,Bangalore,Health,The largest provider of physiotherapy and rehabilitation services,Pramod Ravindra,Nestavera Ventures.,"$40,900",,
Flickstree,2014,Mumbai,Tech,World's largest video publisher,"Saurabh Singh, Rahul Jain, Nagender Sangra","MOX, Venture Catalysts","$40,900",,
Settl,2015,Gurugram,TravelTech,Get affordable AC bus-rides everyday,"Amit Singh, Deepanshu Malviya","Sojitz, SIG Global India Fund",Undisclosed,,
Fanspole,2015,Thane,Entertainment,India's only social fantasy gaming platform,"Aniket Shinde, Hardik Gondaliya","Mohan Verma, Better Capital",Undisclosed,Pre-Seed,
Sarva,2016,Mumbai,Healthcare,A wellness ecosystem built on the authentic foundations of Yoga,Sarvesh Shashi,"Shikhar Dhawan, Mantra Capital",Undisclosed,,
Univ.ai,2019,Bangalore,EdTech,"A distributed, global educational powerhouse that draws on technology","Siddharth Das, Dr Rahul Dave, Dr Pavlos Protopapas",Kiran Mazumdar Shaw.,Undisclosed,,
PurohitJi,-,Bangalore,Linguistic Spiritual,App for Hindu Puja Products & Services,Nakerikanti Harish,Bhadresh,Undisclosed,,
CredoLab,2015,Singapore,Tech,AI credit scoring platform,Peter Barcak,"GB Group, Walden International","$7,000,000",Series A,
Brick&Bolt,2018,Bangalore,Construction,"A construction company doing house construction, building construction, commercial construction","Arpit Rajpurohit, Jayesh Rajpurohit","Meghna Agarwal, Navin Dhanuka","$2,200,000",Series A,
Grinntech,2013,Chennai,Battery manufacturer,Leading on all fronts of battery design,"Nikhilesh Mishra, Puneet Jain","V Sumantran, V Lakshmi Narayanan","$2,000,000",,
6Degree,2014,Mumbai,Fashion,India's leading fashion business platform,"Amit Bhardwaj, Nikhil Hegde.","Keiretsu Forum, SucSEED Venture Partners","$340,000",,
Exprs,2018,,Nano Distribution Network,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.","Srinivas Madhavam, Srikanth Rajashekhar, Rahul Mehta","Sweta Rau, Sandeep Kapoor","$5,660,000",,
Bikayi,2019,Hyderabad,E-commerce,Provides free whatsapp integrated E-Commerce Store,"Sonakshi Nathani, Ashutosh Singla",Mantis ventures,"$2,000,000",Seed round,
Virtual Forest,2019,Bangalore,Tech,Tracking seasonal change in virtual forest,Omer Basith,Napino Auto and Electronics Ltd,Undisclosed,,
The Health company,2018,Gurugram,AI health,Organic superfoods & free personal health coaching that actually work.,"Devansh Jain Nawal, Ackshay Jain","VCATS, First Cheque, 9Unicorns, Marquee investors","$350,000",,
TrulyMadly Matchmakers,2014,Gurugram,Dating app,One of the best dating Apps in India connecting singles across the country.,Snehil Khanor,"AngelList, Inflection Point Ventures, The Chennai Angels","$110,000",Pre-series A,
TrueFan,2020,Mumbai,Media,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,"Nimish Goel, Nevaid Aggarwal, Devender Bindal","Mayfield India, Saama Capital, Ronnie Screwvala","$4,300,000",Seed round,
Fanspole,2015,Mumbai,Gaming,A free app that users can use to create contests and play,"Aniket Shinde, Hardik Gondaliya",Better Capital,Undisclosed,Pre-seed Round,
Byju's,2011,Bangalore,EdTech,Provides online learning classes,Byju Raveendran,DST Global,"$122,000,000",,
Avail Finance,2017,Bangalore,Fintech,Instant online loan app,"Ankush Aggarwal, Tushar Mehndiratta","Alphawave, Matrix Partners","$11,635,000",Series B,
The Money Club,,Delhi,AI,AI based chit fund cashier app,"Manuraj Jain, Surajit Raj",Venture Catalysts,Undisclosed,,
Virohan,2018,Gurgaon,Healthcare/Edtech,Healthcare training company,"Kunaal Dudeja, Nalin Saluja, Archit Jayaswal","Keiretsu Forum, Elea Foundation","$2,800,000",Seed Round & Series A,
OneCode,,Gurugram,Social Commerce,Connects new-age digital first brands with relevant sellers,"Manish Shara, Yash Desai",WaterBridge Ventures,Undisclosed,Seed round,
Verloop.io,2015,,AI,Helps automate customer service using Artificial Intelligence,Gaurav Singh,Alpha Wave incubation,"$5,000,000",,
Otipy,2020,,Agritech/Commerce,Connects consumers with farmers thorugh women resellers,Varun Khanna,Inflection Point Ventures,"$1,000,000",Pre Series A,
Evage,2014,Chandigarh,Mobility tech,Develop emissions-free electric commercial vehicles,Inderveer Singh,Anand Shah,Undisclosed,,
LEAD School,2012,Mumbai,EdTech,Offers an integrated system for schools by helping them digitize the entire curriculum,"Sumeet Yashpal Mehta, Smita Deorah","WestBridge Capital, Elevar Equity","$28,000,000",Series C,
Trell,2016,Bangalore,Social e-commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","KTB Network, Samsung Ventures, Ankur Nagpal, Gokul Rajaram, Vineet Buch","$11,000,000",Series A,
Captain Fresh,2019,Bangalore,Food & Logistics,Sea food Supply chain,Utham Gowda,Ankur Capital,"$2,300,000",Pre Series A,
Teachmint,,Bangalore,EdTech,Empowers tutors with tools to deliver effective learning outcomes for students and parents,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Better Capital,Undisclosed,,
Pixxel,2019,Bangalore,SpaceTech,Indian Earth observation startup,"Kshitij Khandelwal, Awais Ahmed","Lightspeed India Partners, Blume Ventures, GrowX ventures","$5,000,000",Seed round,
Habbit Health,2019,Delhi,Nutrition Tech,Applies modern science for healthier life through proprietary foods & digital ecosystem,Dhruv Bhushan,"3one4 Capital, Angel list India",Undisclosed,Pre seed Round,
SmarterBiz,2014,Bangalore,Tech,An end-to-end CX platform enabled with the gig workforce,"Rajesh Bernard, Vijay Krishna, Prateek Mehta","StartupXseed Ventures, Bhaskar Pramanik, MJ Aravinf, Ravi Viswanath, Ramesh Radhakrishnan, Ranjan Biswas, MJ Aniketh.","$1,065,000",Pre Series A,
Able Jobs,2019,Bangalore,HR,Provides end to end hiring support to companies,"Ravish Agrawal, Swatantra Kumar, Siddharth Srivastav","SAIF Partners, Y Combinator, Neeraj Arora, Titan Capital, First Cheque.","$2,000,000",,
Vieroots,2018,Kochi,Healthtech,Personalised lifestyle management using epigenetic science,Sanjeev Nair,Suniel Shetty,Undisclosed,,
Stack Finance,2019,Bangalore,Fintech,"It automates invesments, expenses, borrowing under a single platform",Smriti Tomar,"SOSV, MOX (Mobile Only Accelerator)",Undisclosed,Seed round,
FPL Technologies,,Pune,Fintech,OneScore app is built by FPL - Free credit scoring and monitoring,Anurag Sinha,"Matrix Partners India, Sequoia Capital India, Hummingbird Ventures","$10,000,000",Series A,
Masai School,2019,Bangalore,EdTech,It trains tech aspirants in full stack wed and android development,"Prateek Shukla, Nrupul Dev, Yogesh Bhat","Unitus Ventures, India Quotient, AngelList India","$2,500,000",Series A,
Mitron,,Bangalore,Media,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal.",Nexus Venture Partners,"$5,000,000",Series A,
Daalchini,2017,,IoT,Physical and Digital vending machines startup,"Prerna Kalra, Vidya Bhushan",Artha Venture Fund,"$669,000",Pre Series A,
Suno India,2018,,Media,Multilingual podcast platform,"DVL Padma Priya, Rakesh Kamal, Tarun Nirwan",Shobu Yarlagadda,Undisclosed,Angel Round,
LendingKart,2014,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,"Public banks, Private lenders","Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient","$16,076,000",Series D,
Text Mercato,2015,Bangalore,,Cataloguing startup that serves ecommerce platforms,"Kiran Ramakrishna, Subhajit Mukherjee",1Crowd,"$649,600",Series A,
Eden Smart Homes,2018,,IoT,Develops smart home automation systems,"Pranjal Kacholia, Divyansh Mathur",Inflection Point Ventures,Undisclosed,,
GrayQuest,2017,Mumbai,EdTech,Enables parents to pay their annual education fees in up to 12 monthly installments,Rishab Mehta,Foundation Holdings,"$1,000,000",Pre Series A,
BigHaat,2015,Bangalore,Agritech,Agri-inputs ecommerce player,"Sateesh Nukala, SachinNandwana","Ankur Capital, Beyond Next Ventures","$2,000,000",Pre Series A,
CityCash,2017,Mumbai,Fintech,Focusses on creating a transit led micro-payments ecosystem,Vineet Toshniwala,Orios Venture Partners,"$1,000,000",Seed round,
HomeLane,2014,Chennai,Interior design,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs","$1,000,000",Series D,
HungerBox,2015,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar",IIFL Income Opportunities Fund,"$6,700,000",Series C,
DaveAI,,Bangalore,AI,Sales augmentation platform with a vision to democratise AI for enterprises,"Ananthakrishnan Gopal, Ashok Balasundaram, Sriram P H",Mumbai Angels Network,Undisclosed,,
Eduvanz,2016,Mumbai,Fintech,Digital finance NBFC that provides affordable education loans,"Varun Chopra, Raheel Shah",Sequoia India,"$5,000,000",Series A,
ZipLoan,2015,Delhi,Fintech,Provides loans to MSMEs,"Kshitj Puri, Shalabh Singhal",Stride Ventures,"$2,000,000",,
DocSumo,2019,Mumbai,AI,Platform helps to automate and analyse financial data,"Rushabh Sheth, Bikram Dahl","Better Capital, TechStars, Barclays.","$220,000",Seed round,
CUSMAT,2016,Warangal,AR/VR,It builds high immersion training systems for enterprises,"Abhinav Ayan, Anirban Jyoti Chakravorty, Soumyaranjan Harichandan","Venture Catalysts,  Raveen Sastry",Undisclosed,,
Chingari,2018,Bangalore,Media,Short video platform,"Biswatma Nayak, Siddharth Gautam","AngelList India, Utsav Somani, Village Global, LogX Ventures, Jasminder Singh Gulati","$1,300,000",Seed round,
Bolo Indya,,Gurugram,Media,User-generated content platform,Varun Saxena,"Eagle10 Ventures, India Accelerator, HNIs","$300,000",Pre series A1,
Data Sutram,2018,Kolkata,AI,Platform gathers intel from external data to provide location-based data intelligence.,"Rajit Bhattacharya, Aisik Paul, Ankit Das","Uday Sodhi, Mitesh Shah, Nitin Jain","$266,500",,
Wobot Intelligence,,Delhi,AI,AI backed video analytics platform,"Adit Chhabra, Tapan Dixit,Tanay Dixit.",Sequoia Capital India,"$2,500,000",Pre Series A,
DrinkPrime,,Bangalore,Appliance,Subscription-based Water purifier startup,"Viijender Reddy, Manas Ranjan Hota",Sequoia Surge,"$2,879,000",Pre Series A,
Infeedo,2013,Gurugram,HR tech,An employee engagement HR analytics platform,"Tanmaya Jain, Varun Puri",Y Combinator,"$700,000",,
Probus Smart Things,,Delhi,IoT,Platform for monitoring distribution sub-station performance and operations,"Anand Singh, Ankit Vaish",Unicorn India Ventures,Undisclosed,Seed round,
CrowdPouch,,Bangalore,Tech,A reward-based fundraising and preselling platform,Vittal Ramakrishna,Elina Investments,Undisclosed,Angel Round,
Rebel Foods,2011,Mumbai,Food tech,Cloud kitchen platform,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,"$26,500,000",Series E2,
Hevo,2017,Bangalore,Tech,Data pipeline startup,"Manish Jethani, Sourabh Agarwal","Qualgro, Lachy Groom","$8,000,000",Series A,
BigSpoon Foods,2019,Ahmedabad,Foodtech,Cloud kitchen startup,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah","$2,000,000",Pre series A,
Chingari,,Bangalore,Media,Homegrown short video platform,Sumit Ghosh,"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global.","$1,000,000",Seed Round,
ShareChat,2015,Bangalore,Media,Indian social network platform,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","All About Inc, Beenext Pte Led, Beenos Asia, DG Ventures, Kanamori Assagement Singapore, Rebright Partners I, Rebright Partners II, Tetsuro Koda","$351,000",,
DatStop,,Delhi,Hospitality,It offers urban social space,Dhruvin Shah,"Shabir Momin, OneDigital Entertainment,  Saurabh Pathak.",Undisclosed,,
IPHM Services,,Mumbai,Mental Health,It helps design programs and workshops for the psychological well-being of individuals,Dr. Sachin Bhavsar,Indian Angel Fund,Undisclosed,Seed Round,
Wellcure,,Gurugram,Healthtech,It caters to all health and wellness needs,"Sumeet Kapur, Ankur Bhatia, Aanchal Kapur",Inflection Point Ventures,"$200,000",,
VilCart,2018,Bangalore,Ecommerce,"Retail industry in rural India through technology, supply chain, and logistics facilities.","Prasanna Kumar, Mahesh Bhat, Rajasekhar, Amith S Mali","N S Parthasarathy, Dilipkumar Khandelwal, Anand Nichani, Anath Ravi, Prashanth Prakash",Undisclosed,Bridge Round,
Firescore,,Mumbai,Gaming,Game development studio,"Karan Khairajani, Surojit Roy",Crazy Labs,"$500,000",,
BulBul,2018,Gurgaon,Social commerce,A video and livestream led commerce platform that makes online shopping engaging,"Sachin Bhatia, Atit Jain",Info Edge,"$ 8,700,000",,
Toppr,2013,Mumbai,Edtech,It provides AI-based after school learning app for K12,Zishaan Hayath,Foundation Holdings,"$46,761,000",Series D,
Pickright Technologies,2019,Bangalore,Fintech,Marketplace for stock market investors and advisors,"Archana Elapavuluri, Namandeep Bhatia, Siddharth Panjwani","Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu","$175,000",Seed Round,
Muse Wearables,2018,Chennai,Tech,It sells the world’s first payment-enabled hybrid smartwatches,"K.L.N Sai Prasanth, Yathindra Ajay K.A, K. Prathyusha",Dr. Bhaskar Rao Bollineni,"$3,000,000",,
SATYA Microcapital,1995,Delhi,Fintech,Microfinance company that offers collateral-free credit to micro enterprises,Vivek Tiwari,BlueOrchard Finance Limited,"9.600,000",,
WYN Studio,,Gurugram,Media,It creates video content and podcasts,"Bijay Gautam, Souniya Khurana",India Angel Fund,Undisclosed,Seed Round,
Fourth Partner Energy,2010,Bangalore,Solar Solution,Largest startup in the distributed solar sector,Saif Dhorajiwala,ResponsAbility Investments AG,"$15,000,000",,
Entri,2017,Kochi,Edtech,Local language learning startup,Mohammed Hisamuddin,Good Capital,"$1,700,000",Pre series A,
Snack Amor,2017,Mumbai,Foodtech,Healthy snack startup,Deepak Grover,Dr Srinivas Chunduru,Undisclosed,,
MPowered,,Gurugram,SaaS,Asset Management Solutions,Sudeep Singh,"Ashok Nichani, Shelly Nichani","$21,000,000",Pre series A,
Leap Club,2020,Gurugram,Social e-commerce,Community led professional network for women,"Ragini Das, Anand Sinha",Titan Capital,Undisclosed,,
Ather Energy,2013,Bangalore,Automobile,Electric scooter manufacturer,"Tarun Mehta, Swapnil Jain",Hero MotoCorp,"$11,241,000",Series C,
Gigforce,,Bangalore,HR tech,Provides staffing solutions for businesses,"Chirag Mittal, Parag Modi, Anirudh Syal",Unitus Venture,"$804,000",,
Vegrow,2020,Bangalore,Agritech,It is building an asset-light farm by partnering with small farms on a profit-sharing model,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Matrix Partners India, Ankur Capital","$2,500,000",Seed Round,
Finn,2019,Bangalore,Fintech,Neobanking startup that digitises all banking transactions,"Suman Maram, Sudheer Maram","Unicorn India, PointOne Capital, Astir Ventures",Undisclosed,Pre series A,
Bijnis,2015,,B2B marketplace,Provides a platform for manufacturers and retailers in digital transaction,"Siddharth Vij, Siddharth Rastogi, Shubham Agarwal, Chaitanya Rathi","Sequoia Capital India, Matrix Partners India, InfoEdge, Waterbridge Ventures","$10,000,000",Series A,
iNurture,2009,Bangalore,Edtech,"It provides a conducive and healthy teaching, learning environment",Ashwin Ajila,BlackSoil Capital,"$1,340,000",,
StyleDotMe,2014,Gurugram,Fashion Tech,"mirrAR, helps jewellers sell jewellery with no physical inventory","Meghna Saraogi, Akhil Tolani",Survam Partners,"$467,000",Pre series A,
Ripsey,2018,Mumbai,Nutrition tech,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,"Silky Singh, Alkheya Boora Rpsey",Ah! Ventures,"$133,000",,
ThriveFNC,2017,Pune,Health & Wellness,Focusses on reversing chronic lifestyle disorders through functional nutrition.,Mugdha Pradhan,Rajesh Ranavat,Undisclosed,Seed Round,
Vedantu,2011,Bangalore,Edtech,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Coatue,"$100,000,000",Series D,
Magicpin,2015,Gurugram,,"It is a local discovery, rewards, and commerce platform","Anshoo Sharma, Brij Bhushan",Samsung Venture Investment Corporation,"$7,000,000",Series D,
Procol,2018,Delhi,Agritech,Commodity procurement platform,"Gaurav Baheti, Sumit Mendiratta",Sequoia Surge,"$3,823,000",,
Yumlane,2016,Mumbai,Cloud Kitchen,Online retailer that offers a range of on-the-go hot snacking and meals,Hitesh Ahuja,Jetty Ventures,"$1,000,000",Pre series A,
Crio,2018,Bangalore,Edtech,A learning platform for developers,"Rathinamurthy R, Sridher Jeyachandran",021 Capital,"$934,000",,
Openapp,,Bangalore,IoT,Security solutions startup,Gotama Gowda,Unicorn India Ventures,"$500,000",,
PumPumPum,,Gurugram,IoT/Automobile,Offers leased car services,"Tarun Lawadia, Sameer Kalra",LetsVenture Syndicate,"$293,000",,
uFony Services Pvt ltd,,Pune,Edtech,"School Diary, a platform that brings education to smartphones",Ashish C,Chennai Angels,Undisclosed,,
Protinus Fashion Networking Pvt Ltd,2015,Mumbai,Fashion,Owns and operates fashion commerce and retail management platform 6Degree,"Nikhil Hegde, Amit Bhardwaj",SucSEED Ventures,Undisclosed,Pre series A,
Uable,,Bangalore,Edtech,Online life skills development platform for children,Saurabh Saxena,3one4 Capital,Undisclosed,Seed Round,
ParkSmart,2019,Delhi,IoT,Parking spot reservation platform,"Prateek Garg, Vishva Sharma, Rahul Gupta, Rishabh Nagpal, Ratan Sethi",Ah! Ventures,"$198,000",,
Plum,2019,Bangalore,Healthtech,Provides health benefits to corporates,"Abhishek Poddar, Saurabh Arora",Incubate Fund,"$927,000",Seed Round,
IncNut Digital,2011,Hyderabad,Ecommerce,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,"Chaitanya Nallan, Sangram Simha, Veerendra Shivhare",RPSG Ventures,"$4,000,000",Series A,
GigIndia,2017,Pune,Tech,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,"Sahil Sharma, Aditya Shirole",Incubate Fund India,"$971,000",Pre series A,
Specsmaker,2007,Chennai,Eye Wear,Online optical chain for eye wears,Pratik Shah,Eight Road Ventures,"$3,060,000",,
Piggy Ride,,Bangalore,SaaS,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities",Manish Tewari,"JAFCO Asia, Artha Venture Fund","$1,862,000",Pre series A,
Chai Waale,2018,Chennai,Beverage,Tea Brand,Vidur Maheshwari,"Tharun Dhariwal, Sunil Kumar Singhvi, Arun Ostwal, Vishal Ostwal, Gunavanth Vaid, Bharat Kumar","$232,000",,
NOTO,,Mumbai,Food,A brand that makes healthy icecream,"Ashni Sheth, Varun Sheth",WEH Ventures,Undisclosed,Pre seed round,
Cuemath,2013,Bangalore,Edtech,It helps students to learn math online,Manan Khurma,Trifecta Capital,"$2,888,000",Series B,
Cars24,2015,Gurgaon,Automobile,Online platform for selling used cars,Vikram Chopra,Vivriti Capital,"$1,328,000",,
JetSynthesys,2012,Pune,Digital tech,Digital entertainment and technology company,RajanNavani,"Adar Poonawalla, Kris Gopalakrishnan","$40,000,000",,
Earth Energy EV,2017,Mumbai,Automobile,Electric vehicles startup,Rushi Shenghani,LR Joshi,Undisclosed,Seed Round,
Green Cure,2015,Delhi,Health & Wellness,It sells herbal OTC products,"Sanchit Garg, Sanjeev Dadhich",Venture Catalysts,Undisclosed,,
Blue Sky Analytics,2018,Gurugram,Data Intelligence,"It is building AI-powered infrastructure to analyse air quality, pollution etc","Abhilasha, Kshitij Purwar","Beenext, Rainmatter CApital Pvt Ltd, Stanford Angels & Entrepreneurs","$1,200,000",Seed Round,
Edhusk,2017,Jaipur,Edtech,Provieds personalised learning to students by leveraging technology-driven models,"Anuj Bhuria, Himanshu Kumar, Himanshu Meena",Mumbai Angel Network,Undisclosed,,
Decentro,2020,Bangalore,Fintech,Automated API-based platform that enables financial integrations.,Rohit Taneja,Y Combinator,"$15,500,000",Series A,
Zolostays,2015,Bangalore,Co-living,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry","Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital","$56,000,000",Series C,
Frontier Markets,2011,Jaipur,Ecommerce,Women entreprenuers sells products and services to rural India,Ajaitha Shah,"ENGIE RAssembleurs d'Energies, The Rise Fund, and The Singh Family Trusts,Teja Ventures, Beyond Capital Fund.","$2,250,000",Pre series A,
Brainwired,2018,Kerala,Agritech,India’s first livestock health monitoring company,"Sreeshankar S Nair, Romeo P Jerard","Kritik Abiram, Parthiv Rokadia, Gaurav Saraogi",Undisclosed,,
Aye Finance,2014,Gurugram,Fintech,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma",Invest in Vision,"$16,753,000",Series E,
Paper Boat,2013,Gurugram,Food & Beverages,Ecommerce platform for beverages and snacks,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Sofina Ventures, A91 Emerging fund, SCI Growth Investment II, Catamarann Ventures","$3,700,000",,
Ken42,2019,Bangalore,Edtech,A platform that caters to evolving needs of institutions,Ganesh Raju,Turbostart,"$1,470,000",,
Forbidden Foods,,Delhi,Food,Packaged snacks company,Anuj Krishnan,"Globevestor, Secocha Ventures, First Cheque VC, Kashyap Deorah, Vijay Sivaram","$1,000,000",Seed Round,
Universal Sportsbiz,2012,Bangalore,Fashion,Indian fashion industry with on-trend products,Anjana Reddy,NB Ventures,"$530,000",,
Gobbly,,Gurugram,Retail Tech,A contactless retail store filled with fruits and veggies,Ooshma Garg,Sauce vc,"$500,000",Seed Round,
Aerostrovilos,,Chennai,Automotive,Manufactures micro gas turbines for power-based application,"Rohit Grover, Pradeep Thangappan",Mumbai Angels Network,Undisclosed,,
Mitron,,Bangalore,Media,Short Video and Social Platform,"Shivank Agarwal, Anish Khandelwal","3One4 Capital, LetsVenture","$267,000",Seed Round,
Bulk MRO,2015,Mumbai,B2B,A full stack B2B platform for industrial supplies,"Devang Shah, Gaurang Shah",Stride Ventures,"$3,344,000",,
Inspektlabs,2019,Delhi,AI,Focuses on building computer vision products for physical asset inspections,"Devesh Trivedi, Sanchit","Better Capital, Titan Capital","$600,000",Pre series A,
Big Bang Boom Solutions,2018,Chennai,Defense tech,It developed integrated intellectual properties for defense,"Praveen Dwarkanath, Dr. Shivaraman Ramaswamy",Mumbai Angels Network,"$1,000,000",Series A,
Flinto,2013,Chennai,Edtech,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,"Vijay Babu Gandhi, Shreenidhi Srirangam, Arunprasad Durairaj",Lightbox Ventures,"$7,200,000",Pre series B,
Zetwerk,2018,Bangalore,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",Greenoaks,"$21,000,000",Series C,
ChitMonks,2016,Hyderabad,Fintech,Offers enterprise private platform for chit fund firms,Pavan Adipuram,Unicorn India Ventures,"$650,000",Pre series A,
Walrus,2019,Bangalore,Fintech,It provides banking solutions for teens and young adults,"Bhagaban Behera, Sriharsha Shetty, Nakul Kelkar",Better Capital,Undisclosed,Pre-Seed,Pre-Seed
Arth Designbuild,,Hyderebad,Construction tech,Construction technology and solutions provider,Swapnil Sahu,"Startup-O, Eden Ventures","$1,100,000",,
goDutch,,Mumbai,Fintech,Group Payments platform,"Aniruddh Singh, Riyaz Khan, Sagar Sheth","Matrix India, Y Combinator, Global Founders Capital, Soma Capital, VentureSouq","$1,700,000",Seed Round,Seed Round
Rusk Media,2019,Delhi,Digital Media,It creates video content,Mayank Yadav,"InfoEdge Venture Fund, Sprout Venture Partners",Undisclosed,Seed Round,
Bold Care,2019,Mumbai,Health & Wellness,Digital platform that offers sexologist consultations for  men,"Rajat Jadhav, Rahul Krishnan, Harsh Singh, Mohit Yadav","Rajesh Ranavat, Abhishek Shah, Sheetal Bahl, Manu Rikhye, Ashish Taneja, Kabir Kochhar, Mohit Satyanand",Undisclosed,Pre-seed Round,
Samosa Party,2017,Bangalore,Food,Provides quality Indian Snacks,Amit Nanwani,Inflection Point Ventures,Undisclosed,,
High Street Essentials,2012,New Delhi,Ecommerce,The parent company of women's fashion brands FabAlley and Indya,"Shivani Poddar, Tanvi Malik","SAIF Partners, India Quotient","$2,743,000",Pre series C,
Byju's,2011,Bangalore,Edtech,Provides online learning classes,Byju Raveendran,BOND,Undisclosed,,
Slice,2016,Bangalore,Fintech,A financial platform for youngsters,Rajan Bajaj,Gunosy,"$6,082,000",Pre series B,
Bombay Play,,Bangalore,Gaming,It designs and creates online multiplayer games,"Abhas Saroha, Oliver Jones","Leo capital, Ramakant Sharma","$1,500,000",Pre series A,
Fullife,2011,Mumbai,Healthtech,It sells sports nutrition supplements through a brand called Fast&Up,Varun Khanna,Amansa Capital,"$6,609,000",,
Oziva,2016,,Nutrition,Clean Label Active Nutrition Brand,"Aarti Gill, Mihir Gadani",Matrix Partners,"$5,000,000",Series A,
Aye Finance,2014,Gurugram,Fintech,A finance lender to SMEs,"Vikram Jetley, Sanjay Sharma","Capital G, Alphabet's Independent growth fund","$27,700,000",Series E,
Aether Biomedical,2016,Delhi,Medtech,"Medical robotics startup, focussed on developing rehabilitation devices","Dhruv Agrawal, Faith Jiwakhan",Chiratae Ventures,Undisclosed,Seed Investment,
91springboard,2012,Delhi,Coworking,It offers collaborative workspace with varied amenities,"Vemuri, Deepak Sharma, Pranay Gupta, Varun Chawla","Pearl Brook Holdings Ltd, Al Nour International Holdings Co.","$5,940,000",,
Yulu,,,Micro-mobiity,The electric and scooter rental startup,Amit Gupta,Rocketship,"$3,964,000",,
Milkbasket,2015,Gurugram,Logistics,Hyperlocal delivery service startup,Anant Goel,Inflection Point Ventures,"$5,500,000",,
MergerDomo,2018,Noida,Marketplace,Global online corporate deal sourcing and consulting marketplace,"Hormazd Charna, Manoj Mishra","Nadir Godrej, Individual Investors","$197,000",,
GoMechanic,2016,Delhi,Auto-tech,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Pawan Munjal,Undisclosed,Series B,
Milk Mantra,2009,Odisha,Food,Produces Dairy Products,Srikumar Misra,US International Development Finance Corporation,"$10,000,000",,
Myglamm,2015,Mumbai,Beauty,On-demand beauty services provider,Darpan Sanghvi,"Tano India, L’Occitane, Bessemer","$4,327,000",,
Drishti Technologies,,Bangalore,AI,"AI-based video analytics, data, and insights bring benefits to manufacturers",Prasad Akella,Sozo Ventures,"$25,000,000",Series B,
Instasolv,2019,Noida,Edtech,It is a doubt-solving app for students from Class 6 to 12,"Aditya Singhal, Nishant Sinha, Bahul Arora",Undisclosed,"$2,000,000",Pre series A,
GoldenPi,2017,Bangalore,Fintech,An online aggregator of bonds and debentures available in the secondary market,"Abhijit Roy, Samir Pratihar",Rainmatter Capital,"$459,000",,
Peppermint,2020,,Robotics,Industrial robotics startup,"Runal Dahiwade, Nityanand Prabhutendolkar, Miraj C. Vora","Venture Catalysts, Naveen Kshatriya,",Undisclosed,Seed Round,
Sarva,,Mumbai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,Shikhar Dhawan,Undisclosed,,
